;Tarih;TP_DK_CNY_S
1288;29-09-2015;0.48185
1289;30-09-2015;0.48181
1290;01-10-2015;0.47942
1291;02-10-2015;0.47824
1292;03-10-2015;
1293;04-10-2015;
1294;05-10-2015;0.47923
1295;06-10-2015;0.47428
1296;07-10-2015;0.47357
1297;08-10-2015;0.46567
1298;09-10-2015;0.46552
1299;10-10-2015;
1300;11-10-2015;
1301;12-10-2015;0.45978
1302;13-10-2015;0.46577
1303;14-10-2015;0.46749
1304;15-10-2015;0.46688
1305;16-10-2015;0.45783
1306;17-10-2015;
1307;18-10-2015;
1308;19-10-2015;0.45867
1309;20-10-2015;0.45749
1310;21-10-2015;0.45947
1311;22-10-2015;0.46063
1312;23-10-2015;0.45789
1313;24-10-2015;
1314;25-10-2015;
1315;26-10-2015;0.45466
1316;27-10-2015;0.45845
1317;28-10-2015;0.45895
1318;29-10-2015;
1319;30-10-2015;0.45895
1320;31-10-2015;
1321;01-11-2015;
1322;02-11-2015;0.46459
1323;03-11-2015;0.44558
1324;04-11-2015;0.44971
1325;05-11-2015;0.45095
1326;06-11-2015;0.4553
1327;07-11-2015;
