;Tarih;TP_DK_CNY_A
747;06-04-2014;
748;07-04-2014;0.34177
749;08-04-2014;0.33907
750;09-04-2014;0.33599
751;10-04-2014;0.33753
752;11-04-2014;0.33609
753;12-04-2014;
754;13-04-2014;
755;14-04-2014;0.33904
756;15-04-2014;0.34012
757;16-04-2014;0.3398
758;17-04-2014;0.34077
759;18-04-2014;0.34061
760;19-04-2014;
761;20-04-2014;
762;21-04-2014;0.34007
763;22-04-2014;0.34054
764;23-04-2014;
765;24-04-2014;0.34072
766;25-04-2014;0.34039
767;26-04-2014;
768;27-04-2014;
769;28-04-2014;0.33934
770;29-04-2014;0.33898
771;30-04-2014;0.33656
772;01-05-2014;
773;02-05-2014;0.33602
774;03-05-2014;
775;04-05-2014;
776;05-05-2014;0.33478
777;06-05-2014;0.33385
778;07-05-2014;0.33431
779;08-05-2014;0.33377
780;09-05-2014;0.33122
781;10-05-2014;
782;11-05-2014;
783;12-05-2014;0.33156
784;13-05-2014;0.33089
785;14-05-2014;0.33056
786;15-05-2014;0.33063
787;16-05-2014;0.33151
788;17-05-2014;
789;18-05-2014;
790;19-05-2014;
791;20-05-2014;0.33468
792;21-05-2014;0.33548
793;22-05-2014;0.33612
794;23-05-2014;0.33365
795;24-05-2014;
796;25-05-2014;
797;26-05-2014;0.33236
798;27-05-2014;0.33229
799;28-05-2014;0.33377
800;29-05-2014;0.33459
801;30-05-2014;0.33342
802;31-05-2014;
803;01-06-2014;
804;02-06-2014;0.33294
805;03-06-2014;0.3336
806;04-06-2014;0.33416
807;05-06-2014;0.33725
808;06-06-2014;0.33523
809;07-06-2014;
810;08-06-2014;
811;09-06-2014;0.33245
812;10-06-2014;0.33115
813;11-06-2014;0.33332
814;12-06-2014;0.33392
815;13-06-2014;0.33675
816;14-06-2014;
817;15-06-2014;
818;16-06-2014;0.33947
819;17-06-2014;0.34145
820;18-06-2014;0.34087
821;19-06-2014;0.34204
822;20-06-2014;0.3395
823;21-06-2014;
824;22-06-2014;
825;23-06-2014;0.34138
826;24-06-2014;0.34169
827;25-06-2014;0.34014
828;26-06-2014;0.34108
829;27-06-2014;0.34011
830;28-06-2014;
831;29-06-2014;
832;30-06-2014;0.33956
833;01-07-2014;0.34022
834;02-07-2014;0.33987
835;03-07-2014;0.34063
836;04-07-2014;0.34115
837;05-07-2014;
838;06-07-2014;
839;07-07-2014;0.3411
840;08-07-2014;0.34169
841;09-07-2014;0.34075
842;10-07-2014;0.34064
843;11-07-2014;0.34043
844;12-07-2014;
845;13-07-2014;
846;14-07-2014;0.34014
847;15-07-2014;0.33934
848;16-07-2014;0.33958
849;17-07-2014;0.34022
850;18-07-2014;0.34016
851;19-07-2014;
852;20-07-2014;
853;21-07-2014;0.34069
854;22-07-2014;0.33912
855;23-07-2014;0.33949
856;24-07-2014;0.33557
857;25-07-2014;0.33556
858;26-07-2014;
859;27-07-2014;
860;28-07-2014;
861;29-07-2014;
