;Tarih;TP_AOFO
681;19-08-2013;6.91
682;20-08-2013;6.99
683;21-08-2013;7.75
684;22-08-2013;7.75
685;23-08-2013;7.75
686;26-08-2013;7.58
687;27-08-2013;7.73
688;28-08-2013;7.48
689;29-08-2013;7.03
690;30-08-2013;
691;02-09-2013;7.75
692;03-09-2013;7.37
693;04-09-2013;6.97
694;05-09-2013;6.81
695;06-09-2013;6.71
696;09-09-2013;7.75
697;10-09-2013;6.73
698;11-09-2013;6.67
699;12-09-2013;6.71
700;13-09-2013;6.82
701;16-09-2013;7.75
702;17-09-2013;6.82
703;18-09-2013;6.77
704;19-09-2013;6.7
705;20-09-2013;6.79
706;23-09-2013;7.74
707;24-09-2013;6.71
708;25-09-2013;6.65
709;26-09-2013;6.61
710;27-09-2013;6.69
711;30-09-2013;7.73
712;01-10-2013;6.59
713;02-10-2013;6.55
714;03-10-2013;6.52
715;04-10-2013;6.65
716;07-10-2013;7.74
717;08-10-2013;6.65
718;09-10-2013;6.44
719;10-10-2013;6.56
720;11-10-2013;6.76
721;14-10-2013;6.57
722;15-10-2013;
723;16-10-2013;
724;17-10-2013;
725;18-10-2013;
726;21-10-2013;7.74
727;22-10-2013;6.7
728;23-10-2013;6.65
729;24-10-2013;6.66
730;25-10-2013;6.8
731;28-10-2013;6.76
732;29-10-2013;
733;30-10-2013;6.76
734;31-10-2013;7.05
735;01-11-2013;7.41
736;04-11-2013;7.75
737;05-11-2013;7.29
738;06-11-2013;7.2
739;07-11-2013;6.88
740;08-11-2013;7.3
741;11-11-2013;7.75
742;12-11-2013;7.75
743;13-11-2013;6.99
744;14-11-2013;6.79
745;15-11-2013;6.78
746;18-11-2013;7.74
747;19-11-2013;7.75
748;20-11-2013;6.95
749;21-11-2013;7.44
750;22-11-2013;7.75
751;25-11-2013;7.74
752;26-11-2013;7.68
753;27-11-2013;7.68
754;28-11-2013;7.75
755;29-11-2013;7.75
756;02-12-2013;7.75
757;03-12-2013;7.75
758;04-12-2013;7.74
759;05-12-2013;7.75
760;06-12-2013;7.75
761;09-12-2013;7.75
762;10-12-2013;7.75
763;11-12-2013;7.74
764;12-12-2013;7.75
765;13-12-2013;7.75
766;16-12-2013;7.75
767;17-12-2013;7.74
768;18-12-2013;7.75
769;19-12-2013;7.75
770;20-12-2013;7.75
771;23-12-2013;7.75
772;24-12-2013;7.75
773;25-12-2013;7.75
774;26-12-2013;7.75
775;27-12-2013;7.75
776;30-12-2013;7.75
777;31-12-2013;7.75
778;01-01-2014;
779;02-01-2014;7.75
780;03-01-2014;7.75
781;06-01-2014;7.75
782;07-01-2014;7.75
783;08-01-2014;7.75
784;09-01-2014;7.75
785;10-01-2014;7.75
786;13-01-2014;7.75
787;14-01-2014;7.75
788;15-01-2014;7.75
789;16-01-2014;7.75
790;17-01-2014;7.75
791;20-01-2014;7.75
792;21-01-2014;7.75
793;22-01-2014;7.75
794;23-01-2014;7.75
795;24-01-2014;7.75
796;27-01-2014;9.0
797;28-01-2014;7.75
798;29-01-2014;9.96
799;30-01-2014;10.49
800;31-01-2014;11.28
801;03-02-2014;10.53
802;04-02-2014;10.2
803;05-02-2014;11.05
804;06-02-2014;11.32
805;07-02-2014;11.43
806;10-02-2014;11.46
807;11-02-2014;11.56
808;12-02-2014;11.64
809;13-02-2014;11.27
810;14-02-2014;11.57
811;17-02-2014;11.41
812;18-02-2014;11.17
813;19-02-2014;11.25
814;20-02-2014;11.87
815;21-02-2014;11.91
816;24-02-2014;11.75
817;25-02-2014;11.85
818;26-02-2014;11.34
819;27-02-2014;11.67
820;28-02-2014;11.96
821;03-03-2014;11.97
822;04-03-2014;11.96
823;05-03-2014;11.98
824;06-03-2014;11.97
825;07-03-2014;11.97
826;10-03-2014;11.98
827;11-03-2014;11.96
828;12-03-2014;11.98
829;13-03-2014;11.79
830;14-03-2014;11.91
831;17-03-2014;11.96
832;18-03-2014;11.91
833;19-03-2014;11.96
834;20-03-2014;11.98
835;21-03-2014;11.98
836;24-03-2014;11.99
837;25-03-2014;11.97
838;26-03-2014;11.95
839;27-03-2014;11.92
840;28-03-2014;11.97
841;31-03-2014;11.98
842;01-04-2014;11.93
843;02-04-2014;11.81
844;03-04-2014;11.84
845;04-04-2014;11.8
846;07-04-2014;11.34
847;08-04-2014;10.45
848;09-04-2014;9.8
849;10-04-2014;10.43
850;11-04-2014;10.73
851;14-04-2014;10.56
852;15-04-2014;9.87
853;16-04-2014;11.06
854;17-04-2014;10.79
855;18-04-2014;11.44
856;21-04-2014;11.32
857;22-04-2014;11.43
858;23-04-2014;
859;24-04-2014;10.67
860;25-04-2014;11.32
861;28-04-2014;11.46
862;29-04-2014;11.5
863;30-04-2014;11.04
864;01-05-2014;
865;02-05-2014;11.25
866;05-05-2014;11.37
867;06-05-2014;11.38
868;07-05-2014;11.32
869;08-05-2014;11.03
870;09-05-2014;11.39
871;12-05-2014;11.26
872;13-05-2014;10.84
873;14-05-2014;10.61
874;15-05-2014;10.78
875;16-05-2014;11.35
876;19-05-2014;
877;20-05-2014;11.25
878;21-05-2014;10.73
879;22-05-2014;9.7
880;23-05-2014;10.42
881;26-05-2014;10.31
882;27-05-2014;10.18
883;28-05-2014;10.2
884;29-05-2014;10.96
885;30-05-2014;11.32
886;02-06-2014;11.04
887;03-06-2014;10.32
888;04-06-2014;10.81
889;05-06-2014;10.34
890;06-06-2014;10.31
891;09-06-2014;10.01
892;10-06-2014;9.89
893;11-06-2014;9.69
894;12-06-2014;9.68
895;13-06-2014;9.53
896;16-06-2014;9.86
897;17-06-2014;9.97
898;18-06-2014;9.39
899;19-06-2014;9.32
900;20-06-2014;10.1
901;23-06-2014;9.49
902;24-06-2014;9.5
903;25-06-2014;8.91
904;26-06-2014;8.72
905;27-06-2014;8.85
906;30-06-2014;9.98
907;01-07-2014;9.99
908;02-07-2014;9.27
909;03-07-2014;8.86
910;04-07-2014;8.77
911;07-07-2014;8.7
912;08-07-2014;9.3
913;09-07-2014;8.79
914;10-07-2014;8.79
915;11-07-2014;9.12
916;14-07-2014;8.97
917;15-07-2014;9.0
918;16-07-2014;8.76
919;17-07-2014;9.8
920;18-07-2014;8.41
921;21-07-2014;8.26
922;22-07-2014;8.21
923;23-07-2014;8.15
924;24-07-2014;8.3
925;25-07-2014;8.69
926;28-07-2014;
927;29-07-2014;
928;30-07-2014;
929;31-07-2014;8.21
930;01-08-2014;8.59
931;04-08-2014;8.43
932;05-08-2014;8.16
933;06-08-2014;7.99
934;07-08-2014;7.94
935;08-08-2014;10.22
936;11-08-2014;9.06
937;12-08-2014;10.3
938;13-08-2014;8.77
939;14-08-2014;8.44
940;15-08-2014;8.5
941;18-08-2014;8.64
942;19-08-2014;10.17
943;20-08-2014;8.55
944;21-08-2014;9.24
945;22-08-2014;8.99
946;25-08-2014;8.8
947;26-08-2014;8.51
948;27-08-2014;8.14
949;28-08-2014;8.16
950;29-08-2014;8.33
951;01-09-2014;8.39
952;02-09-2014;8.71
953;03-09-2014;8.49
954;04-09-2014;8.23
955;05-09-2014;8.14
956;08-09-2014;8.1
957;09-09-2014;8.54
958;10-09-2014;8.41
959;11-09-2014;8.12
960;12-09-2014;8.43
961;15-09-2014;8.64
962;16-09-2014;9.46
963;17-09-2014;9.44
964;18-09-2014;10.31
965;19-09-2014;10.19
966;22-09-2014;9.27
967;23-09-2014;9.66
968;24-09-2014;8.76
969;25-09-2014;9.07
970;26-09-2014;10.93
971;29-09-2014;11.22
972;30-09-2014;11.24
973;01-10-2014;10.98
974;02-10-2014;11.13
975;03-10-2014;11.15
976;06-10-2014;
977;07-10-2014;
978;08-10-2014;10.67
979;09-10-2014;9.93
980;10-10-2014;11.12
981;13-10-2014;10.56
982;14-10-2014;11.04
983;15-10-2014;10.74
984;16-10-2014;10.96
985;17-10-2014;11.11
986;20-10-2014;10.61
987;21-10-2014;11.2
988;22-10-2014;10.94
989;23-10-2014;10.78
990;24-10-2014;10.79
991;27-10-2014;10.83
992;28-10-2014;10.57
993;29-10-2014;
994;30-10-2014;10.36
995;31-10-2014;9.38
996;03-11-2014;9.82
997;04-11-2014;10.01
998;05-11-2014;9.74
999;06-11-2014;9.03
1000;07-11-2014;10.65
1001;10-11-2014;10.4
1002;11-11-2014;11.08
1003;12-11-2014;10.81
1004;13-11-2014;9.98
1005;14-11-2014;9.99
1006;17-11-2014;9.7
1007;18-11-2014;9.21
1008;19-11-2014;8.62
1009;20-11-2014;9.45
1010;21-11-2014;10.69
1011;24-11-2014;10.06
1012;25-11-2014;9.73
1013;26-11-2014;9.07
1014;27-11-2014;8.7
1015;28-11-2014;10.32
1016;01-12-2014;11.0
1017;02-12-2014;10.39
1018;03-12-2014;9.3
1019;04-12-2014;8.91
1020;05-12-2014;10.83
1021;08-12-2014;11.1
1022;09-12-2014;11.15
1023;10-12-2014;11.03
1024;11-12-2014;10.73
1025;12-12-2014;11.22
1026;15-12-2014;11.24
1027;16-12-2014;11.24
1028;17-12-2014;11.24
1029;18-12-2014;11.24
1030;19-12-2014;11.24
1031;22-12-2014;11.24
1032;23-12-2014;11.22
1033;24-12-2014;11.04
1034;25-12-2014;10.58
1035;26-12-2014;11.2
1036;29-12-2014;11.22
1037;30-12-2014;11.24
1038;31-12-2014;11.23
1039;01-01-2015;
1040;02-01-2015;11.23
1041;05-01-2015;11.16
1042;06-01-2015;11.1
1043;07-01-2015;10.84
1044;08-01-2015;10.66
1045;09-01-2015;10.69
1046;12-01-2015;10.78
1047;13-01-2015;10.44
1048;14-01-2015;10.68
1049;15-01-2015;10.65
1050;16-01-2015;11.08
1051;19-01-2015;10.8
1052;20-01-2015;10.63
1053;21-01-2015;11.03
1054;22-01-2015;10.67
1055;23-01-2015;10.59
1056;26-01-2015;10.68
1057;27-01-2015;10.59
1058;28-01-2015;10.37
1059;29-01-2015;10.66
1060;30-01-2015;10.66
1061;02-02-2015;10.78
1062;03-02-2015;10.87
1063;04-02-2015;10.73
1064;05-02-2015;10.78
1065;06-02-2015;10.94
1066;09-02-2015;11.05
1067;10-02-2015;11.07
1068;11-02-2015;11.14
1069;12-02-2015;11.23
1070;13-02-2015;11.1
1071;16-02-2015;11.13
1072;17-02-2015;11.08
1073;18-02-2015;10.72
1074;19-02-2015;10.57
1075;20-02-2015;11.01
1076;23-02-2015;11.09
1077;24-02-2015;11.09
1078;25-02-2015;10.61
1079;26-02-2015;10.54
1080;27-02-2015;10.66
1081;02-03-2015;10.61
