;Tarih;TP_DK_EUR_A_EF
2950;30-01-2010;
2951;31-01-2010;
2952;01-02-2010;2.0702
2953;02-02-2010;2.0611
2954;03-02-2010;2.0582
2955;04-02-2010;2.0624
2956;05-02-2010;2.0623
2957;06-02-2010;
2958;07-02-2010;
2959;08-02-2010;2.0692
2960;09-02-2010;2.0722
2961;10-02-2010;2.0657
2962;11-02-2010;2.0677
2963;12-02-2010;2.0674
2964;13-02-2010;
2965;14-02-2010;
2966;15-02-2010;2.0497
2967;16-02-2010;2.052
2968;17-02-2010;2.0532
2969;18-02-2010;2.0583
2970;19-02-2010;2.0499
2971;20-02-2010;
2972;21-02-2010;
2973;22-02-2010;2.0469
2974;23-02-2010;2.0522
2975;24-02-2010;2.0745
2976;25-02-2010;2.0812
2977;26-02-2010;2.0759
2978;27-02-2010;
2979;28-02-2010;
2980;01-03-2010;2.0846
2981;02-03-2010;2.086
2982;03-03-2010;2.0693
2983;04-03-2010;2.0879
2984;05-03-2010;2.1005
2985;06-03-2010;
2986;07-03-2010;
2987;08-03-2010;2.0881
2988;09-03-2010;2.0788
2989;10-03-2010;2.0791
2990;11-03-2010;2.0796
2991;12-03-2010;2.0858
2992;13-03-2010;
2993;14-03-2010;
2994;15-03-2010;2.0881
2995;16-03-2010;2.0854
2996;17-03-2010;2.0808
2997;18-03-2010;2.0771
2998;19-03-2010;2.0708
2999;20-03-2010;
3000;21-03-2010;
3001;22-03-2010;2.0677
3002;23-03-2010;2.0771
3003;24-03-2010;2.0747
3004;25-03-2010;2.0511
3005;26-03-2010;2.0464
3006;27-03-2010;
3007;28-03-2010;
3008;29-03-2010;2.0409
3009;30-03-2010;2.0522
3010;31-03-2010;2.0509
3011;01-04-2010;2.0391
3012;02-04-2010;2.0381
3013;03-04-2010;
3014;04-04-2010;
3015;05-04-2010;2.0461
3016;06-04-2010;2.0317
3017;07-04-2010;2.016
3018;08-04-2010;1.995
3019;09-04-2010;1.9907
3020;10-04-2010;
3021;11-04-2010;
3022;12-04-2010;1.9849
3023;13-04-2010;2.0106
3024;14-04-2010;2.0154
3025;15-04-2010;2.0072
3026;16-04-2010;1.9944
3027;17-04-2010;
3028;18-04-2010;
3029;19-04-2010;1.9868
3030;20-04-2010;1.9978
3031;21-04-2010;1.9971
3032;22-04-2010;1.9786
3033;23-04-2010;
3034;24-04-2010;
3035;25-04-2010;
3036;26-04-2010;1.9702
3037;27-04-2010;1.9585
3038;28-04-2010;1.9646
3039;29-04-2010;1.9759
3040;30-04-2010;1.9587
3041;01-05-2010;
3042;02-05-2010;
3043;03-05-2010;1.9602
3044;04-05-2010;1.9655
3045;05-05-2010;1.9563
3046;06-05-2010;1.9534
3047;07-05-2010;1.9522
3048;08-05-2010;
3049;09-05-2010;
3050;10-05-2010;1.9868
3051;11-05-2010;1.9649
3052;12-05-2010;1.9397
3053;13-05-2010;1.928
3054;14-05-2010;1.9037
3055;15-05-2010;
3056;16-05-2010;
3057;17-05-2010;1.901
3058;18-05-2010;1.8926
3059;19-05-2010;
3060;20-05-2010;1.8965
3061;21-05-2010;1.9425
3062;22-05-2010;
3063;23-05-2010;
3064;24-05-2010;1.9703
3065;25-05-2010;1.9412
3066;26-05-2010;1.939
3067;27-05-2010;1.9345
3068;28-05-2010;1.9142
3069;29-05-2010;
3070;30-05-2010;
3071;31-05-2010;1.9203
3072;01-06-2010;1.926
3073;02-06-2010;1.9195
3074;03-06-2010;1.9222
3075;04-06-2010;1.9201
3076;05-06-2010;
3077;06-06-2010;
3078;07-06-2010;1.9157
3079;08-06-2010;1.9043
3080;09-06-2010;1.9058
3081;10-06-2010;1.9055
3082;11-06-2010;1.9129
3083;12-06-2010;
3084;13-06-2010;
3085;14-06-2010;1.9051
3086;15-06-2010;1.9071
3087;16-06-2010;1.918
3088;17-06-2010;1.9164
3089;18-06-2010;1.9203
3090;19-06-2010;
3091;20-06-2010;
3092;21-06-2010;1.9176
3093;22-06-2010;1.9142
3094;23-06-2010;1.9086
3095;24-06-2010;1.9121
3096;25-06-2010;1.9293
3097;26-06-2010;
3098;27-06-2010;
3099;28-06-2010;1.9359
3100;29-06-2010;1.9313
3101;30-06-2010;1.9204
3102;01-07-2010;1.9278
3103;02-07-2010;1.9386
3104;03-07-2010;
3105;04-07-2010;
3106;05-07-2010;1.9607
3107;06-07-2010;1.9516
3108;07-07-2010;1.9519
3109;08-07-2010;1.9526
3110;09-07-2010;1.9529
3111;10-07-2010;
3112;11-07-2010;
3113;12-07-2010;1.954
3114;13-07-2010;1.9476
3115;14-07-2010;1.946
3116;15-07-2010;1.9509
3117;16-07-2010;1.9587
3118;17-07-2010;
3119;18-07-2010;
3120;19-07-2010;1.9765
3121;20-07-2010;1.9843
3122;21-07-2010;1.9756
3123;22-07-2010;1.951
3124;23-07-2010;1.9464
3125;24-07-2010;
3126;25-07-2010;
3127;26-07-2010;1.9514
3128;27-07-2010;1.9522
3129;28-07-2010;1.9562
3130;29-07-2010;1.9536
3131;30-07-2010;1.963
3132;31-07-2010;
3133;01-08-2010;
3134;02-08-2010;1.9582
3135;03-08-2010;1.9485
3136;04-08-2010;1.9643
3137;05-08-2010;1.9714
3138;06-08-2010;1.9699
3139;07-08-2010;
3140;08-08-2010;
3141;09-08-2010;1.9637
3142;10-08-2010;1.9648
3143;11-08-2010;1.9594
3144;12-08-2010;1.9573
3145;13-08-2010;1.9456
3146;14-08-2010;
3147;15-08-2010;
3148;16-08-2010;1.9311
3149;17-08-2010;1.9277
3150;18-08-2010;1.9192
3151;19-08-2010;1.9183
3152;20-08-2010;1.9153
3153;21-08-2010;
3154;22-08-2010;
3155;23-08-2010;1.9199
3156;24-08-2010;1.9181
3157;25-08-2010;1.9232
3158;26-08-2010;1.9224
3159;27-08-2010;1.9262
3160;28-08-2010;
3161;29-08-2010;
3162;30-08-2010;
3163;31-08-2010;1.9255
3164;01-09-2010;1.9265
3165;02-09-2010;1.9347
3166;03-09-2010;1.9284
3167;04-09-2010;
3168;05-09-2010;
3169;06-09-2010;1.9228
3170;07-09-2010;1.9239
3171;08-09-2010;1.9166
3172;09-09-2010;
3173;10-09-2010;
3174;11-09-2010;
3175;12-09-2010;
3176;13-09-2010;1.9166
3177;14-09-2010;1.9055
3178;15-09-2010;1.9181
3179;16-09-2010;1.9278
3180;17-09-2010;1.9373
3181;18-09-2010;
3182;19-09-2010;
3183;20-09-2010;1.9512
3184;21-09-2010;1.9475
3185;22-09-2010;1.9472
3186;23-09-2010;1.9703
3187;24-09-2010;1.9739
3188;25-09-2010;
3189;26-09-2010;
3190;27-09-2010;1.9789
3191;28-09-2010;1.9764
3192;29-09-2010;1.971
3193;30-09-2010;1.974
3194;01-10-2010;1.9679
3195;02-10-2010;
3196;03-10-2010;
3197;04-10-2010;1.9737
3198;05-10-2010;1.9707
3199;06-10-2010;1.9829
3200;07-10-2010;1.9582
3201;08-10-2010;1.9712
3202;09-10-2010;
3203;10-10-2010;
3204;11-10-2010;1.9732
3205;12-10-2010;1.9561
3206;13-10-2010;1.9569
3207;14-10-2010;1.9629
3208;15-10-2010;1.959
3209;16-10-2010;
3210;17-10-2010;
3211;18-10-2010;1.9704
3212;19-10-2010;1.9675
3213;20-10-2010;1.9671
3214;21-10-2010;1.9648
3215;22-10-2010;1.9793
3216;23-10-2010;
3217;24-10-2010;
3218;25-10-2010;1.9767
3219;26-10-2010;1.9753
3220;27-10-2010;1.9684
3221;28-10-2010;1.9732
3222;29-10-2010;
3223;30-10-2010;
3224;31-10-2010;
3225;01-11-2010;1.9732
3226;02-11-2010;1.9791
3227;03-11-2010;1.9716
3228;04-11-2010;1.9666
3229;05-11-2010;1.9746
3230;06-11-2010;
3231;07-11-2010;
3232;08-11-2010;1.9659
3233;09-11-2010;1.9526
3234;10-11-2010;1.9498
3235;11-11-2010;1.9378
3236;12-11-2010;1.9402
3237;13-11-2010;
3238;14-11-2010;
3239;15-11-2010;1.9516
3240;16-11-2010;
3241;17-11-2010;
3242;18-11-2010;
3243;19-11-2010;
3244;20-11-2010;
3245;21-11-2010;
3246;22-11-2010;1.9516
3247;23-11-2010;1.9672
3248;24-11-2010;1.9729
3249;25-11-2010;1.9693
3250;26-11-2010;1.9564
3251;27-11-2010;
3252;28-11-2010;
3253;29-11-2010;1.961
3254;30-11-2010;1.961
3255;01-12-2010;1.9521
3256;02-12-2010;1.9478
3257;03-12-2010;1.949
3258;04-12-2010;
3259;05-12-2010;
3260;06-12-2010;1.9503
3261;07-12-2010;1.9615
3262;08-12-2010;1.9614
3263;09-12-2010;1.9595
3264;10-12-2010;1.9713
3265;11-12-2010;
3266;12-12-2010;
3267;13-12-2010;1.9774
3268;14-12-2010;1.9815
3269;15-12-2010;2.0081
3270;16-12-2010;2.0124
3271;17-12-2010;2.0049
3272;18-12-2010;
3273;19-12-2010;
3274;20-12-2010;2.0198
3275;21-12-2010;2.0329
3276;22-12-2010;2.0376
